Locus,Allele,Ratio,Slope,Intercept
D8S1179,8,0.004339,,
D8S1179,9,0.003776,,
D8S1179,10,0.00749,,
D8S1179,11,0.00918,,
D8S1179,12,0.0093,,
D8S1179,13,0.007392,,
D8S1179,14,0.007044,,
D8S1179,15,0.006867,,
D8S1179,16,0.00792,,
D8S1179,,,-0.00002,0.00907
D21S11,27,0.005542,,
D21S11,28,0.007865,,
D21S11,29,0.008873,,
D21S11,30,0.009142,,
D21S11,30.2,0.008099,,
D21S11,31,0.011308,,
D21S11,31.2,0.008896,,
D21S11,32,0.012264,,
D21S11,32.2,0.009756,,
D21S11,33.2,0.010246,,
D21S11,34.2,0.010394,,
D21S11,,,0.00071,-0.00962
D7S820,8,0.005132,,
D7S820,9,0.005825,,
D7S820,10,0.005195,,
D7S820,11,0.006374,,
D7S820,12,0.006466,,
D7S820,13,0.007127,,
D7S820,14,0.010054,,
D7S820,,,0.00077,-0.00021
CSF1PO,9,0.007104,,
CSF1PO,10,0.006174,,
CSF1PO,11,0.006007,,
CSF1PO,12,0.007453,,
CSF1PO,13,0.008182,,
CSF1PO,14,0.010189,,
CSF1PO,,,0.00094,-0.00175
D3S1358,,,0.0005,-0.00098
TH01,,,0,0.00259
D13S317,,,0.00086,-0.00169
D16S539,,,0.00072,-0.00007
D2S1338,,,0,0.00558
D19S433,15,0.00714,,
D19S433,15.2,0.00778,,
D19S433,16,0.00778,,
D19S433,16.2,0.00842,,
D19S433,17,0.00842,,
D19S433,17.2,0.00874,,
D19S433,18,0.00906,,
D19S433,18.2,0.0097,,
D19S433,19.2,0.01034,,
D19S433,,,0.00047,-0.00006
vWA,13,0.007349,,
vWA,14,0.004747,,
vWA,15,0.005335,,
vWA,16,0.005823,,
vWA,17,0.006176,,
vWA,18,0.015452,,
vWA,19,0.006292,,
vWA,20,0.007673,,
vWA,,,0.00068,-0.00497
TPOX,,,0.0002,0.00346
D18S51,,,0.00092,-0.00329
AMEL,,,0,0.01
D5S818,,,0.00122,-0.00163
FGA,,,0.00036,-0.00575
D2S441,,,0,0.0136485
D22S1045,,,0.00524985,-0.050172983
SE33,,,0,0.0158989
D10S1248,,,0,0.0103393
D1S1656,,,0,0.011933
D12S391,,,0,0.0415102
