Locus,Intercept,Slope
D3S1358,60.2303496503497,4.07825174825174
vWA,112.315164835165,4.0372967032967
D16S539,207.355712290503,4.02864525139664
CSF1PO,258.759272727273,3.95854545454545
TPOX,317.469090909091,4.02836363636364
Yindel,76.21,5.29000000000002
AMEL,NA,NA
D8S1179,93.9499047619047,4.10078571428572
D21S11,86.495904595539,4.03979306638
D18S51,233.163501068744,4.03903123491691
DYS391,336.511428571428,4.04785714285716
D2S441,44.7888995552663,4.05775572187873
D19S433,93.9474457859918,3.98486754279273
TH01,161.926455734296,4.16108284088422
FGA,170.487291839067,4.06926984876785
D22S1045,64.6624242424243,2.98636363636363
D5S818,110.30886946387,4.05122377622377
D13S317,178.484673659674,4.04447552447552
D7S820,238.623272727273,3.97454545454544
SE33,289.569569881272,4.06682738046474
D10S1248,53.5461888111889,3.99898601398601
D1S1656,121.628203912362,4.2170043570021
D12S391,160.583483333625,3.97152383282935
D2S1338,236.445166838665,4.01953560371517
